image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
1_A_2_stitch.rsml, root_10, 18c56304-3cf7-4f48-9a33-66207d1b698a, 0.8990119, 0.86181337, 0.047538806, 3.6766782E-4, 235.78826614956847, 0.02401207, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_9, da40b086-7ea0-405b-9a18-664734bca0f2, 0.5095929, 0.5080084, 0.017402649, 5.2450643E-5, 112.61652786538542, 0.010422577, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_7, 462c3e57-1c7d-4800-8ce7-c305da72fa53, 0.4519955, 0.45152956, 0.042657983, 3.8564755E-4, 156.80103526657624, 0.023134166, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_6, a6858d1d-9b07-4c79-b76a-fece25fbdf78, 0.5570357, 0.54969436, 0.028850889, 1.6357261E-4, 147.96003840491173, 0.022323875, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_5, 87f90019-e603-44e3-b736-3571a74e5584, 0.94821334, 0.9436694, 0.031761896, 1.2986736E-4, 349.66489561492955, 0.013600793, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_4, 25e80730-fba9-4190-8d4f-8c65e0855407, 0.34647125, 0.34118035, 0.0088758115, 2.147398E-5, 167.75346216674512, 0.0071099442, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_2, 424c2897-e5ce-4b93-a05e-87a8ea0853f9, 0.35638875, 0.3410156, 0.028174846, 1.8332202E-4, 122.30908539201043, 0.024178509, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_1, 2aa64d1c-4277-4a64-8ca9-422073a56bcd, 0.4318026, 0.42837384, 0.053604376, 5.3180865E-4, 236.1534627041107, 0.040237054, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
1_A_2_stitch.rsml, root_0, 265f3058-12ba-45f7-8e37-69870082c11e, 1.0148065, 1.0102035, 0.03574869, 1.3435079E-4, 299.7677409353451, 0.010692232, 0, Root, -1, -1, -0.0029895366, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_16, bdac811e-c589-4078-a447-c08f0b8b04a8, 7.28496, 4.255539, 4.108362, 0.25333843, 237.60616197830237, 0.18316747, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_15, de07e051-fda9-4e5d-81cc-6b689157e158, 2.6977305, 2.660047, 0.8620558, 0.022463327, 332.33703353968735, 0.10919754, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_14, 05745b49-351b-43ca-a44e-e216ac752cf5, 3.1759255, 3.1671536, 0.64525664, 0.013021935, 243.8453212190556, 0.07938991, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_13, ac9c9c6b-3bf1-4abf-9bba-cfbfbfe53d7d, 13.805238, 13.4028015, 1.8191237, 0.04072029, 273.02184029659907, 0.052117847, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_12, f0508843-95fc-479c-93ca-1e509735f02f, 4.4041758, 4.327079, 4.0122895, 0.3322346, 254.03563561163446, 0.30997303, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_11, ed5bed5f-f194-4154-9650-f2197454cf39, 4.6757364, 4.630485, 0.814649, 0.015854405, 233.22191819158456, 0.06005399, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_10, 294ae214-521b-45d7-b27d-ef28827a3e83, 1.0194714, 1.0194715, 0.45558038, 0.019775247, 18.84718642969275, 0.14128344, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_9, 21b8015e-0cde-4079-a3b8-9271daab17a7, 1.4250959, 1.4229858, 0.27682725, 0.006230251, 329.90789042175066, 0.061237127, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_8, a9df33cc-dd7f-4948-bdd7-0e2bc024c8ef, 2.3736455, 2.331896, 0.48111024, 0.007885784, 173.16666029154703, 0.06191309, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_7, d736d8fd-b208-40d6-8729-f47d094ec3ff, 3.2700775, 3.2209082, 0.5345268, 0.024194414, 239.16057642961388, 0.092647366, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_6, dcbbda31-b9f3-4f71-b8fa-ae5f1f71c0fe, 1.8442769, 1.7450743, 0.26940268, 0.003665823, 181.87489193612484, 0.059668165, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_6, d0816dae-d615-4740-be1e-26f9f9de499a, 3.1498177, 3.0730743, 0.7380816, 0.017330287, 198.26643069880666, 0.08493024, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_5, aefb6c52-50c5-4a38-ab5d-3e72d5b46223, 1.7440498, 1.7220263, 0.41455922, 0.007915731, 317.03691802523855, 0.07116949, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_2, 07ca3365-fce6-40fd-86bc-b4fed5026c2c, 3.5075624, 3.213572, 0.5212514, 0.007480108, 271.938490331965, 0.058783974, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_1, bcdf4457-cfd5-4fed-a8b2-3de6c97517a1, 4.247616, 4.161583, 0.95339084, 0.020021254, 259.9931724925297, 0.07163706, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
8_B_1_stitch.rsml, root_0, d10f9ee7-8a77-4aa3-af00-ed970bcb7a88, 3.459835, 2.9910529, 0.63730294, 0.025927993, 168.5246315051746, 0.08187332, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_B_2_stitch.rsml, root_3, 8222bb3e-d71e-49c9-abce-c263cabc0133, 1.3669726, 1.3652567, 0.73203385, 0.042208944, 160.67479071472732, 0.19628318, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_B_2_stitch.rsml, root_3, d5798944-29a8-4326-a749-25973dc03f7a, 2.9708986, 2.871274, 1.1841834, 0.048776343, 145.74677024588246, 0.115405425, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_B_2_stitch.rsml, root_1, 07e3f279-4b09-41cd-9c33-0c44eb5f4a78, 2.3532577, 2.3476975, 0.68149084, 0.015901597, 40.119810599697466, 0.08595181, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
6_B_2_stitch.rsml, root_0, 581807de-f3db-4323-9510-f9717eb391d4, 2.0298584, 1.9814162, 0.1982394, 0.0017196109, 309.27017331623364, 0.030066747, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_19, 60070e52-aef3-4510-82df-aa6e58eda38f, 7.7150965, 6.5326176, 2.9254208, 0.14996904, 70.52573982218114, 0.101300634, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_18, 2faea47b-063e-48cf-b5ee-844984516a75, 6.6837397, 6.091365, 7.9407315, 0.81288916, 276.77532977384453, 0.36111337, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_17, 48849da8-56db-4949-afea-1744a96595ab, 3.8583717, 1.9977458, 2.2977347, 0.11586882, 210.79466420276754, 0.19409756, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_17, 4e17463e-d26e-4cdc-b37f-84f1e04d237b, 12.374772, 9.47337, 2.5679202, 0.08019354, 241.05313988635436, 0.06525514, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_16, 32748265-f04b-48fe-ae95-c8654884b1cf, 6.287966, 5.452487, 1.0052139, 0.017614491, 258.2643969720861, 0.050712377, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_15, 2ebc9ebe-d1fc-4410-be46-472c34beee9e, 1.8227265, 1.6792088, 0.50772583, 0.016871167, 181.36189008794352, 0.12437199, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
1_B_2_stitch.rsml, root_14, d9d16af3-1027-4639-a359-fbbddca438f2, 5.2185173, 3.8221695, 2.08675, 0.12120525, 262.1880947634483, 0.15143844, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
